timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
87599250,87493715,171799743191,0.00093577785,0.009660094,0.01404829,0,0.3329705,0.25364932,0.0,0.047451742,0.023578294,0.037698645,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,76.51462,58.358376,0.51853013,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
87798760,87693162,171799743191,0.0022125163,0.017418385,0.025493098,0,0.33275256,0.25367594,0.0,0.08158028,0.022895282,0.03396255,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,79.03611,58.358376,0.5337918,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
87998091,87892639,171799743191,0.0029681968,0.014575901,0.026008876,0,0.33262184,0.2537343,0.0,0.053801212,0.02238808,0.036213435,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,79.130264,58.358376,0.52566457,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
88197671,88092033,171799743191,0.00029444724,0.008579635,0.01750722,0,0.33248797,0.2537978,0.0,0.024456114,0.022183908,0.036215547,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,75.58276,58.358376,0.5302203,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
88397059,88291524,171799743191,0.0014582037,0.012914999,0.021583728,0,0.33235094,0.25386494,0.0,0.07114163,0.0203475,0.052533425,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,76.59131,58.358376,0.52839994,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
88596480,88490994,171799743191,0.052939806,0.08142618,0.0900927,0,0.33210316,0.25392818,0.0,0.28700012,0.028007347,0.0446137,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,70.87558,58.358376,0.47760114,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
88795932,88690416,34360789703,0.056562543,0.10173613,0.11578236,0,0.332021,0.25400308,0.0,0.2859485,0.033798825,0.03616427,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,61.362984,58.358376,0.42526764,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
88995371,88889911,34360789703,0.012233208,0.045830186,0.06409992,0,0.3319638,0.25406492,0.0,0.09212322,0.022873836,0.03638174,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,60.831985,58.358376,0.42143533,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
89195268,89089331,34369178311,0.011427585,0.015212719,0.018808791,0,0.33200708,0.25413415,0.0,0.12614849,0.018687459,0.03283856,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,58.987232,58.358376,0.41682044,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
89394908,89288803,34369178311,0.032332726,0.046861827,0.048145715,0,0.3321494,0.25422904,0.0,0.15750949,0.014316384,0.030146444,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,62.542168,58.358376,0.3881302,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
89594465,89488247,34369178311,0.016115416,0.028160293,0.039514285,0,0.33227775,0.25431797,0.0,0.07123982,0.017767737,0.032164916,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,65.86409,58.358376,0.44250205,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
89793364,89687715,34369178311,0.007377707,0.021985915,0.03336462,0,0.33229536,0.25510308,0.0,0.040110108,0.015417286,0.027212443,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,64.46359,58.358376,0.3598026,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
