timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
94664069,32767,32767,32767,32767,32767,32767
94669223,32767,32767,32767,32767,32767,32767
94674215,32767,32767,32767,32767,32767,32767
94679193,32767,32767,32767,32767,32767,32767
94684069,32767,32767,32767,32767,32767,32767
94689068,32767,32767,32767,32767,32767,32767
94694321,32767,32767,32767,-23,-8,32767
94699193,32767,32767,32767,32767,32767,32767
94704193,32767,32767,32767,32767,32767,32767
94709068,32767,32767,32767,32767,32767,32767
94714353,32767,32767,32767,-19,32767,32767
94719193,32767,32767,32767,32767,32767,32767
94724068,32767,32767,32767,32767,32767,32767
94729069,32767,32767,32767,32767,32767,32767
94734211,32767,32767,32767,32767,32767,32767
94739451,32767,32767,32767,32767,32767,32767
94744194,32767,32767,32767,32767,-6,32767
94749068,32767,32767,32767,32767,32767,32767
94754071,32767,32767,32767,32767,32767,32767
94764194,32767,32767,32767,32767,32767,32767
94769195,32767,32767,32767,32767,32767,32767
94774095,32767,32767,32767,32767,32767,32767
94779270,32767,32767,32767,32767,32767,32767
94784512,32767,32767,32767,32767,32767,32767
94789193,32767,32767,32767,32767,32767,32767
94794193,32767,32767,32767,32767,32767,32767
94799068,32767,32767,32767,32767,32767,32767
94804280,32767,32767,32767,-4,32767,32767
94809197,32767,32767,32767,32767,32767,32767
94814193,32767,32767,32767,-3,32767,32767
94819069,32767,32767,32767,32767,32767,32767
94824137,32767,32767,32767,32767,32767,32767
94829567,32767,32767,32767,32767,21,32767
94834068,32767,32767,32767,32767,32767,32767
94839069,32767,32767,32767,32767,32767,32767
94844194,32767,32767,32767,32767,32767,32767
94849250,32767,32767,32767,32767,32767,32767
94854193,32767,32767,32767,32767,32767,32767
94859069,32767,32767,32767,32767,32767,32767
94864069,32767,32767,32767,32767,32767,32767
94869224,32767,32767,32767,32767,32767,32767
94874432,32767,32767,32767,32767,32767,32767
94879089,32767,32767,32767,32767,32767,32767
94884095,32767,32767,32767,32767,-27,32767
94889068,32767,32767,32767,32767,32767,32767
94894281,32767,32767,32767,10,32767,32767
94899193,32767,32767,32767,32767,32767,32767
94904193,32767,32767,32767,32767,32767,32767
94909087,32767,32767,32767,32767,32767,32767
94914280,32767,32767,32767,14,32767,32767
94919193,32767,32767,32767,32767,32767,32767
94924194,32767,32767,32767,32767,32767,32767
94929193,32767,32767,32767,32767,32767,32767
94934074,32767,32767,32767,32767,32767,32767
94939316,32767,32767,32767,32767,32767,32767
94944194,32767,32767,32767,32767,32767,32767
94949194,32767,32767,32767,32767,32767,32767
94954069,32767,32767,32767,32767,32767,32767
94959349,32767,32767,32767,32767,32767,32767
94964194,32767,32767,32767,32767,32767,32767
94969069,32767,32767,32767,32767,2,32767
94974068,32767,32767,32767,32767,32767,32767
94979068,32767,32767,32767,32767,32767,32767
94984377,32767,32767,32767,32767,32767,32767
94989093,32767,32767,32767,32767,32767,32767
94994068,32767,32767,32767,32767,32767,32767
94999068,32767,32767,32767,32767,32767,32767
