timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
96363443,96256838,0.10286255,0.101272814,0.2081252,0.80885684,0.80879354,1.7569487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.423589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002631305,0.002640523,0.0025352435,1.0000887,1.0000781,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
96861284,96754674,0.10203804,0.1013095,0.20812964,0.8081725,0.8080976,1.7694064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.421994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002617439,0.0026377833,0.0025276514,1.000091,1.0000765,1.0000015,0.0,0.0,0.0,0.0,0.0,0.0
97359293,97252540,0.10211123,0.1012746,0.20814115,0.80781466,0.8077473,1.7699146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026200446,0.002638151,0.0025227624,1.0000861,1.0000767,1.0000018,0.0,0.0,0.0,0.0,0.0,0.0
97857576,97750561,0.10211963,0.101219915,0.20813562,0.8164723,0.816349,1.7836394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.422048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002628451,0.002641986,0.002521641,1.000086,1.0000769,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98365860,98259001,0.101626664,0.1017199,0.20813994,0.8267912,0.8266086,1.8072481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.42061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026481769,0.0026405673,0.002520851,1.0000829,1.0000757,1.0000001,0.0,0.0,0.0,0.0,0.0,0.0
98863892,98756924,0.10103369,0.10070181,0.20812568,0.82847893,0.82831275,1.8149251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.421704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002662663,0.0026498034,0.0025184022,1.0000826,1.0000751,1.0000008,0.0,0.0,0.0,0.0,0.0,0.0
99361597,99254902,0.10107978,0.10078887,0.20813684,0.8374847,0.8373352,1.8337029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.423839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026796863,0.0026560554,0.0025199444,1.00008,1.0000747,1.0000002,0.0,0.0,0.0,0.0,0.0,0.0
99859777,99752809,0.10106933,0.10078917,0.20814158,0.84104383,0.8408879,1.8182158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.42237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002717342,0.0026600196,0.002525731,1.0000789,1.0000747,1.0000011,0.0,0.0,0.0,0.0,0.0,0.0
100357685,100250712,0.10148171,0.10071482,0.20813279,0.85060275,0.8504257,1.8496327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.424486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027258235,0.002665745,0.0025190897,1.0000775,1.0000733,1.0000006,0.0,0.0,0.0,0.0,0.0,0.0
100865943,100759307,0.10087346,0.10062587,0.20813866,0.8572932,0.85713726,1.8661137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.423075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027371212,0.0026849194,0.0025353667,1.000077,1.0000734,1.0000014,0.0,0.0,0.0,0.0,0.0,0.0
