timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
87956972,87919030,8944899,0.15726244,0.046146628,0.52002424,3
88006134,87987583,8944899,0.11993945,0.09086141,0.5117663,3
88094610,88056277,8944899,0.16444266,0.061965153,0.5002525,3
88144246,88125518,8944899,0.15245542,0.06942886,0.53594583,3
88231220,88193926,8944899,0.15124303,0.06985938,0.49412763,3
88281058,88262300,8944899,0.12166318,0.104172,0.5035402,3
88369768,88331205,8944899,0.12965848,0.091741286,0.42877105,3
88419108,88400414,8944899,0.14654414,0.100226134,0.47900766,3
88506416,88468957,8944899,0.12168876,0.13498561,0.44167137,3
88556137,88537216,8944899,0.114714146,0.15776786,0.43750265,3
88644146,88606490,8944899,0.104502454,0.17287351,0.38124946,3
88693844,88675203,8944899,0.1082727,0.19045618,0.3644942,3
88780997,88743641,8944899,0.11272631,0.19446723,0.37595147,3
88831241,88812258,8944899,0.10499541,0.195527,0.37639588,3
88918916,88881771,8944899,0.089500934,0.2134516,0.3521871,3
88969157,88950425,8944899,0.11624077,0.19387898,0.34193802,3
89055920,89018585,8944899,0.11557564,0.20221634,0.3639738,3
89106769,89087549,8944899,0.07417155,0.217497,0.3477541,3
89193980,89156654,8944899,0.10091151,0.19469711,0.3616063,3
89244363,89225174,8944899,0.04189159,0.20788336,0.3320602,3
89331901,89293729,8944899,0.081165716,0.18038124,0.33394578,3
89382225,89362904,8944899,0.038312543,0.26513287,0.35304,3
89468767,89431574,8944899,-0.0056833173,0.23008566,0.377937,3
89518452,89499787,8944899,0.0039541405,0.13113484,0.31841305,3
89606769,89568725,8944899,0.013028969,0.20878537,0.3467916,3
89656545,89637819,8944899,0.05754094,0.19073509,0.29961157,3
89744524,89706417,8944899,0.043647096,0.19477855,0.36326286,3
89793494,89774772,8944899,-0.013906155,0.24313974,0.342449,3
89881590,89844029,8944899,0.003963185,0.17611237,0.33647478,3
89931263,89912622,8944899,0.0143376365,0.18532583,0.41201532,3
90018647,89981224,8944899,-0.041734293,0.2526487,0.3307775,3
90069342,90049846,8944899,0.011387,0.12212489,0.30564,3
90156568,90119266,8944899,-0.029590886,0.13018039,0.38745198,3
90206233,90187723,8944899,-0.0470743,0.18223107,0.34715626,3
90293672,90256073,8944899,0.045865245,0.11777514,0.3272069,3
90345066,90325775,8944899,0.041789055,0.16793908,0.3832734,3
90431379,90394013,8944899,-0.008945778,0.23275144,0.306238,3
90480955,90462323,8944899,0.021737989,0.19057511,0.301744,3
90569448,90531361,8944899,-0.017240863,0.20336562,0.3390368,3
90619075,90600405,8944899,-0.016911624,0.18317977,0.36468446,3
90707411,90669088,8944899,0.037415482,0.14216915,0.31725264,3
90756118,90737278,8944899,0.027706806,0.24161445,0.38379654,3
90845330,90806300,8944899,-0.0025276565,0.22450304,0.32928905,3
90894070,90875376,8944899,0.029974822,0.098971166,0.30238816,3
90982093,90944179,8944899,0.008956137,0.20209198,0.3797283,3
91031078,91012439,8944899,-0.08121435,0.17623198,0.33542603,3
91120364,91081331,8944899,-0.009879872,0.12344025,0.32548013,3
91169324,91150421,8944899,0.0033730865,0.17264196,0.36660272,3
91256300,91218973,8944899,-0.02235561,0.14531718,0.3073387,3
91306012,91287315,8944899,0.026602425,0.17575304,0.38823122,3
91393237,91355950,8944899,-0.05339734,0.21515839,0.31830326,3
91444037,91425397,8944899,-0.0047665653,0.12840411,0.27221337,3
91531056,91493827,8944899,-0.043807372,0.17275627,0.34887493,3
91580959,91562276,8944899,-0.013107652,0.21818879,0.36788929,3
91669078,91631307,8944899,-0.0050250725,0.1382976,0.33377555,3
91718866,91700164,8944899,-0.07701597,0.17290965,0.32556152,3
91805992,91768688,8944899,0.014358137,0.20411424,0.3291747,3
91855712,91837170,8944899,0.023378054,0.1860109,0.3324663,3
91944096,91906731,8944899,-0.044263806,0.1853089,0.31066507,3
91993816,91975347,8944899,0.03428156,0.22190873,0.30159396,3
92080789,92043573,8944899,0.039934915,0.17575489,0.35447156,3
92131675,92112734,8944899,-0.09753249,0.15408397,0.32656366,3
92218903,92181608,8944899,-0.017957851,0.23893562,0.3272937,3
92268704,92250117,8944899,0.004139908,0.109110385,0.33325735,3
