timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
87294924,-1.4206171,0.20259412,nan,0.32582626,-0.060103998,0.7,0.9194281,-0.2755226,7.4649844,0.00671616,-0.002012614,-0.071635045,-0.1562284,0.0
87400885,-1.4206171,0.20259412,nan,0.34573564,-0.07015856,0.7,0.7452119,0.004569605,7.7841415,0.004701626,2.883015e-05,-0.061871555,-0.15258503,0.0
87496137,-1.4206171,0.20259412,nan,0.3584589,-0.07329848,0.7,0.9656066,-0.23931292,7.1574984,0.007979727,-0.0019776707,-0.0810415,-0.15820496,0.0
87602101,-1.4206171,0.20259412,nan,0.3718285,-0.07722513,0.7,0.41143596,-0.0899439,8.108701,0.0021791824,-0.00047639044,-0.051942807,-0.17084965,0.0
87697548,-1.4206171,0.20259412,nan,0.3774854,-0.07696527,0.7,0.8007655,-0.39225894,8.045539,0.0043991823,-0.0021549612,-0.05387502,-0.20043528,0.0
87792690,-1.4206171,0.20259412,nan,0.38015613,-0.07453311,0.7,0.47913292,-0.23683615,7.9037857,0.0028441087,-0.0014058474,-0.05821146,-0.21873444,0.0
87898830,-1.4206171,0.20259412,nan,0.37781075,-0.07342285,0.7,0.6868768,0.11766563,8.257756,0.0033187815,0.0005685249,-0.047382977,-0.22008476,0.0
87994069,-1.4206171,0.20259412,nan,0.38626015,-0.07286091,0.7,0.9920381,-0.45449,7.940859,0.005773926,-0.0026452532,-0.05707734,-0.22321439,0.0
88100132,-1.4206171,0.20259412,nan,0.39788887,-0.07468694,0.7,0.5769127,-0.1313636,9.035309,0.0013881387,-0.00031608055,-0.023596488,-0.22203484,0.0
88195302,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.12,-0.22642125,0.0
88301650,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.12,-0.21363617,0.0
88396673,-1.4206171,0.20259412,nan,0.39632684,-0.0646173,0.7,0.065642655,0.5232019,5.473889,0.0008872044,0.007071424,-0.13254562,-0.21863219,0.0
88502978,-1.4206171,0.20259412,nan,0.3704207,-0.039509654,0.7,-0.1294494,0.45876548,9.177429,-0.0015821594,0.0056071337,-0.11985848,-0.22364105,0.0
88597917,-1.4206171,0.20259412,nan,0.35302478,0.0010289081,0.7,0.1056501,0.72253025,12.595856,0.0012892184,0.008816834,-0.119668715,-0.23344237,0.0
88693285,-1.4206171,0.20259412,nan,0.3395432,0.052103575,0.7,-0.06896808,0.803187,15.930317,-0.000841091,0.009795159,-0.1195966,-0.2510389,0.0
88799233,-1.4206171,0.20259412,nan,0.33578855,0.11166348,0.7,0.1797558,0.81395376,19.536057,0.0021917066,0.009924285,-0.119568825,-0.25182566,-0.080888174
88894653,-1.4206171,0.20259412,nan,0.339446,0.15980472,0.7,0.15632354,0.690679,22.242695,0.0019078879,0.008429556,-0.119688354,-0.27503332,-0.031656876
89000529,-1.4206171,0.20259412,nan,0.3397093,0.20090233,0.7,0.022458512,0.90665954,25.14407,0.00027364798,0.011047285,-0.119490094,-0.2739444,-0.008635068
