timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
87199175,2621474,2490402,2621474,2424842,0,0.43429515,0.32175624,0.2011308,0.0,2621474,2490402,2621474,2424842,0,0.024039006,0.028704848,0.028623179,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
87400474,2621474,2490402,2621474,2424842,0,0.9079134,0.5188538,0.4602646,0.0,2621474,2490402,2621474,2424842,0,0.041013423,0.016124379,0.027470347,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
87601752,2621474,2490402,2621474,2424842,0,0.97481155,0.6044856,0.5256257,0.0,2621474,2490402,2621474,2424842,0,0.054115526,0.04238473,0.018351462,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
87797734,2621474,2490402,2621474,2424842,0,1.1212591,0.51106584,0.6358164,0.0,2621474,2490402,2621474,2424842,0,0.026991682,0.014614017,0.022536514,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
87999082,2621474,2490402,2621474,2424842,0,0.80026424,0.431329,0.54631394,0.0,2621474,2490402,2621474,2424842,0,0.022061102,0.022458866,0.008460785,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
88200309,2621474,2490402,2621474,2424842,0,1.6335196,0.6752329,1.0160502,0.0,2621474,2490402,2621474,2424842,0,0.029653821,0.01867599,0.01172046,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
88401565,2621474,2490402,2621474,2424842,0,1.2986162,0.79769516,0.54504544,0.0,2621474,2490402,2621474,2424842,0,0.023236133,0.017908707,0.0137430895,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
88597601,2621474,2490402,2621474,2424842,0,1.571362,0.82533115,0.88822716,0.0,2621474,2490402,2621474,2424842,0,0.052335177,0.024338642,0.02821493,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
88798875,2621474,2490402,2621474,2424842,0,0.4382056,0.20722383,0.5708967,0.0,2621474,2490402,2621474,2424842,0,0.0356571,0.037181314,0.015330088,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
89000129,2621474,2490402,2621474,2424842,0,0.47212234,0.4608433,0.3791011,0.0,2621474,2490402,2621474,2424842,0,0.078411706,0.03259435,0.056704786,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
