timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
103567882,39158858,2,2621474,3997730,2621474,8944899,0.05326099,0.04780296,0.04182636,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
104573928,39158858,2,2621474,3997730,2621474,8944899,0.022903878,0.034029435,0.030473601,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
105580488,39158858,2,2621474,3997730,2621474,8944899,0.08260435,0.092626184,0.07899916,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
106587215,39158858,2,2621474,3997730,2621474,8944899,0.06622635,0.05512988,0.039016824,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
107551399,39158858,2,2621474,3997730,2621474,8944899,0.05497057,0.35423872,0.057729755,nan,nan,nan,nan,nan,nan,0.7007319,0.0,0.70349103,nan,nan,nan,nan,nan,nan,0.039037842,0.009192802,0.016890744,nan,1.0244374,0.22809266,1.3277755,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
107752333,39158858,2,2621474,3997730,2621474,8944899,0.31946748,0.3006041,0.045545407,nan,nan,nan,nan,nan,nan,0.82432187,0.0,0.46175212,nan,nan,nan,nan,nan,nan,0.029255345,0.0,0.00037856106,nan,1.1880544,0.05914173,1.5016797,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
107762789,39158858,2,2621474,3997730,2621474,8944899,0.31946748,0.3006041,0.045545407,nan,nan,nan,nan,nan,nan,0.84318525,0.0,0.20669341,nan,nan,nan,nan,nan,nan,0.028128399,0.0,0.0,nan,1.1831375,0.049438134,1.4972574,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
107773424,39158858,2,2621474,3997730,2621474,8944899,0.31946748,0.3006041,0.045545407,nan,nan,nan,nan,nan,nan,0.8620486,0.0,-0.048365295,nan,nan,nan,nan,nan,nan,0.026961913,0.0,0.0,nan,1.1776361,0.039429534,1.4923021,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
107784019,39158858,2,2621474,3997730,2621474,8944899,0.31946748,0.3006041,0.045545407,nan,nan,nan,nan,nan,nan,0.880912,0.0,-0.303424,nan,nan,nan,nan,nan,nan,0.025796968,0.0,0.0,nan,1.1716366,0.029531632,1.4869257,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
107795258,107794763,3,2424842,3997730,2424842,8944899,0.31946748,0.3006041,0.045545407,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.024635559,0.0,0.0,nan,1.1651752,0.019512938,1.4810839,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
