timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
80588240,80587925,-7.09719e-05,0.057341952,-0.02257022,-1.456064,9.096287,-1.9528816
80589626,80589309,-0.021528265,0.03410462,-0.014645381,-4.6994686,3.1965246,-0.2386769
80590999,80590678,-0.04718623,-0.008488093,-0.015458837,-7.847017,-4.5220847,-0.37043422
80592246,80591929,-0.048794728,-0.04278312,-0.022773769,-6.28264,-9.09923,-1.4575799
80593487,80593170,-0.018035023,-0.044313174,-0.019968743,0.22688313,-7.228274,-0.65341246
80594820,80594505,0.0180311,-0.016056845,-0.017108474,6.0428214,-0.940572,-0.04736945
80596152,80595837,0.023697361,0.017331403,-0.01389615,5.544546,4.734251,0.49586868
80597495,80597172,0.0017190475,0.039033048,-0.010553511,0.653361,7.2067013,0.92731446
80598818,80598503,-0.023071347,0.035163347,-0.0042204824,-3.4986532,4.8726172,1.8050889
80600155,80599837,-0.013621479,0.006898781,0.01039753,-1.0567806,-0.8731549,3.7981684
80601487,80601168,0.023233734,-0.016735366,0.0068655317,5.252347,-4.5077996,2.290019
80602818,80602502,0.04983865,-0.02608221,-0.017464276,8.367699,-5.000119,-2.2414331
80604150,80603835,0.041660625,-0.019797798,-0.042064425,5.0746474,-2.8163373,-5.753705
80605392,80605077,0.009843452,-0.0068672155,-0.045204043,-1.2861753,-0.07503133,-4.911072
80606724,80606410,-0.01017607,0.0067635067,-0.025071027,-4.1883583,2.1653898,-0.49588314
80608061,80607743,-0.0028752058,0.014448417,-0.00930989,-2.0147421,2.917976,2.1432803
80609394,80609076,0.0129122585,0.014137873,-0.00509201,1.0218079,2.1914244,2.356649
80610723,80610409,0.021649802,0.0044321334,-0.0005077293,2.167851,0.106195845,2.6093323
80612133,80611806,0.015026613,-0.004659425,0.010652275,0.57614964,-1.3919878,3.8973515
80613397,80613083,0.0080248965,-0.011850687,0.02160326,-0.6949556,-2.2689085,4.797704
80614704,80614391,-0.0009985648,-0.014232816,0.009740702,-2.0557702,-2.1500585,1.7132064
80616038,80615723,-0.015746491,-0.0097796,-0.01333039,-4.046939,-0.9141536,-2.4324512
80617370,80617057,-0.033592567,0.0061398824,-0.019865422,-6.1032667,1.9350586,-2.8851779
80618705,80618390,-0.04121218,0.022843624,-0.0052136006,-5.9498086,4.2368693,0.17978255
80620041,80619724,-0.028919302,0.024507562,0.0032104913,-2.574554,3.510861,1.450043
80621300,80620985,-0.004174011,0.0079861805,-0.008495304,2.0817823,-0.00035692158,-0.8195801
80622639,80622323,0.016522283,-0.007808327,-0.0101073375,4.990849,-2.569216,-0.807297
80623951,80623633,0.024376083,-0.01567773,0.010071478,5.1262517,-3.259477,2.7163978
80625280,80624966,0.013949974,-0.008299494,0.02377525,2.2440903,-1.2843388,4.311951
80626650,80626326,-0.00026328512,0.00297095,0.022873469,-0.5502708,0.82467514,3.197126
80627954,80627632,-0.0039101103,0.0043190727,0.024277296,-0.986104,0.8299498,2.7573247
80629281,80628965,-0.0034282065,0.0045289136,0.029900841,-0.6926464,0.6934694,3.0713992
80630644,80630324,0.0009997442,0.0026306838,0.023640575,0.19662,0.2054107,1.3018548
