timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
93876940,93876388,39230940,33.6448665,-117.84206859999999,-1.700004,0.122564614,-8.072916,0.0018472992,4.4952765e-05,3.7252903e-07,0.17074637,-0.0848551,0.9876499,1.04128,0.02116495,-0.02306845,-0.02159992,3.183265,1.2465951,-5.16432,-0.49717677,0.016119696,0.041243225,0.031629354,0.0001630956,26.370876,10.198234,0.3335083,0.26205513,0.14016615,0.07408366,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
94380920,94380334,39230940,33.6448665,-117.84206859999999,-1.5669466,0.02639875,-7.499895,0.0018472992,4.4952765e-05,3.7252903e-07,0.22043489,-0.22653367,1.332389,1.3671294,0.02116495,-0.02306845,-0.02159992,-0.8607836,-6.355281,2.973618,-0.4757139,0.016115427,0.065356135,0.031629354,0.00016634185,26.370876,9.625213,0.32342187,0.25888363,0.13691597,0.07332086,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
94884685,94884198,39230940,33.6448665,-117.84206859999999,-1.4057045,-0.13211939,-6.7257276,0.0018472992,4.4952765e-05,3.7252903e-07,0.093402706,-0.12482769,1.568768,1.5770009,0.02116495,-0.02306845,-0.02159992,-1.6254236,-0.31278786,-2.8723829,-0.46173185,0.016509546,0.10178693,0.031629354,0.00017143598,26.370876,8.851046,0.330486,0.26245177,0.14314762,0.07429329,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
95379924,95377609,39230940,33.6448665,-117.84206859999999,-1.3365097,-0.2247914,-6.1649485,0.0018472992,4.4952765e-05,3.7252903e-07,-0.049848974,-0.075196184,0.59618556,0.5833397,0.02116495,-0.02306845,-0.02159992,-5.178029,-0.10035839,-7.7340317,-0.49669397,0.0163201,0.06834646,0.031629354,0.00017137545,26.370876,8.290266,0.3200348,0.25872055,0.14762391,0.07333501,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
95882102,95881538,39230940,33.6448665,-117.84206859999999,-1.3844324,-0.1985139,-5.733386,0.0018472992,4.4952765e-05,3.7252903e-07,-0.17457245,0.1171258,0.9732791,0.9784807,0.02116495,-0.02306845,-0.02159992,2.310957,1.8506929,6.619419,-0.50214946,0.016183667,0.07450696,0.031629354,0.00017005859,26.370876,7.8587036,0.3277393,0.26225767,0.15126051,0.07419798,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
96385970,96385427,39230940,33.6448665,-117.84206859999999,-1.5481389,-0.021410244,-5.0553746,0.0018472992,4.4952765e-05,3.7252903e-07,-0.031138992,0.27897295,1.4481082,1.4806179,0.02116495,-0.02306845,-0.02159992,-1.7634922,0.3540872,-0.5427955,-0.49907947,0.014862734,0.10425785,0.031629354,0.00016868036,26.370876,7.1806927,0.3175827,0.25900277,0.14486946,0.07343141,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
96879287,96878778,39230940,33.6448665,-117.84206859999999,-1.6345935,0.17732006,-4.393998,0.0018472992,4.4952765e-05,3.7252903e-07,-0.25141242,0.15421319,1.1285384,1.1636795,0.02116495,-0.02306845,-0.02159992,-5.9832506,-7.3643584,-8.941944,-0.5010725,0.014906796,0.11804532,0.031629354,0.0001697597,26.370876,6.5193157,0.32434016,0.2627699,0.14824246,0.07425285,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
97383226,97382704,39230940,33.6448665,-117.84206859999999,-1.7211466,0.23606743,-3.9544823,0.0018472992,4.4952765e-05,3.7252903e-07,0.119896315,-0.22182032,0.37386394,0.40218508,0.02116495,-0.02306845,-0.02159992,3.6341271,-1.6885711,1.0991734,-0.55522686,0.014835297,0.068752706,0.031629354,0.00016503254,26.370876,6.0798,0.3148057,0.2595613,0.1438126,0.07344501,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
97887118,97886571,39230940,33.6448665,-117.84206859999999,-1.65658,0.13247232,-3.6178908,0.0018472992,4.4952765e-05,3.7252903e-07,0.2047086,-0.14057738,0.7278982,0.74690527,0.02116495,-0.02306845,-0.02159992,0.05874966,0.5121221,7.6231117,-0.555119,0.0147714475,0.068326496,0.031629354,0.00016362863,26.370876,5.743209,0.32318333,0.26314992,0.15057413,0.07442097,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
98380498,98380002,39230940,33.6448665,-117.84206859999999,-1.4929298,-0.016909,-3.303846,0.0018472992,4.4952765e-05,3.7252903e-07,0.2592816,-0.22644818,0.94317305,0.93352586,0.02116495,-0.02306845,-0.02159992,-0.88794863,-4.012249,4.415138,-0.5690518,0.014554859,0.044383317,0.031629354,0.00015955829,26.370876,5.429164,0.31412536,0.2596708,0.14617041,0.07349745,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
