timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
85149281,85148747,0.99755985,0.0047547505,0.00010278836,-0.069655515,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85202183,85201635,0.9975842,0.0048520863,-0.000115475006,-0.06929747,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85249911,85249331,0.9976144,0.0052074846,-0.001291413,-0.06882494,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85297580,85297059,0.9976161,0.004770512,-0.0026753107,-0.06879187,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85350536,85349995,0.99741095,0.0061561815,-0.018678984,-0.06917094,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85398288,85397692,0.9976134,0.0074902805,-0.015070975,-0.06696562,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85451210,85450680,0.99763334,-0.004040241,0.0033036468,-0.0685598,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85498837,85498320,0.99755263,-0.004688429,0.00022225594,-0.069762066,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85551966,85551351,0.9978625,0.006650708,-0.00013008073,-0.065010026,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85599671,85598995,0.99774265,0.0043839263,0.0008731274,-0.06700483,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85652432,85651919,0.9977445,0.012248714,0.0044895103,-0.06584666,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85700106,85699561,0.99779046,-0.0019842777,0.009385874,-0.06574392,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85747750,85747234,0.99788606,-0.008421118,0.006600815,-0.06410154,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85800802,85800239,0.9978403,0.020500509,0.0030945581,-0.062329054,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85848542,85847925,0.9980726,0.0013300158,0.0026646603,-0.06198667,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85901396,85900885,0.99772197,-0.019857187,0.0042507793,-0.06433169,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
85949088,85948572,0.99773395,0.01706967,0.0013458544,-0.065067805,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86002143,86001556,0.997795,0.010644401,0.0019088368,-0.06548526,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86050015,86049188,0.99707186,-0.039817963,0.012029528,-0.064168476,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86097402,86096890,0.997492,-0.027678221,0.020139398,-0.061951704,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86150395,86149849,0.997678,0.031875223,0.024057085,-0.055170897,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
