timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
99880789,99880772,0.14743252,1.4577811e-05,12.406341,47.010983,0.36378562,47.3981,1
99976177,99976159,0.14759357,1.4429568e-05,-4.0740933,46.86404,0.03935317,46.68349,1
100082041,100082023,0.14749841,1.4273618e-05,-6.2644935,46.64322,0.093484774,46.599586,1
100177343,100177326,0.14668047,1.4144365e-05,4.101657,46.89722,0.039859243,46.6475,1
100272732,100272714,0.14674182,1.4014285e-05,7.9880147,46.667976,0.15192045,46.623367,1
100378710,100378692,0.14703436,1.3849705e-05,-10.2748375,46.8785,0.25022674,47.21119,1
100474237,100474219,0.14740098,1.37011275e-05,2.476158,46.650524,0.014603524,46.361774,1
100580026,100580008,0.14769667,1.3540916e-05,7.6160936,47.603104,0.13539006,47.572987,1
100675601,100675583,0.1483606,1.3389692e-05,-9.629413,47.09499,0.21876727,47.264038,1
100781301,100781280,0.14869766,1.3205776e-05,-0.6896428,46.5179,0.0011360196,46.207413,1
100876995,100876956,0.14869721,1.3045479e-05,-0.24796188,46.205612,0.00014785383,45.886215,1
100982616,100982595,0.14875665,1.2878629e-05,-15.2824335,45.40971,0.5714705,46.30505,1
101077827,101077805,0.14938074,1.2727871e-05,-5.9111757,46.73263,0.083077796,46.57351,1
101173218,101173200,0.14970416,1.25732495e-05,-8.085675,45.82746,0.15851279,45.812416,1
101279226,101279185,0.15001783,1.239524e-05,-1.0722384,45.9363,0.0027808927,45.624546,1
101374682,101374664,0.1505279,1.22403635e-05,-13.533531,45.589867,0.44638687,46.09007,1
101480408,101480390,0.15139781,1.2079824e-05,-3.816705,47.241856,0.034261607,46.963615,1
101575870,101575847,0.15120108,1.1944218e-05,5.695519,46.647068,0.07726802,46.573463,1
101681739,101681718,0.1514098,1.1781807e-05,0.30408478,45.387123,0.00022636757,45.092777,1
101777374,101777356,0.15064329,1.1649274e-05,12.050101,45.26328,0.35644528,45.812374,1
101872479,101872462,0.15034482,1.1533599e-05,3.3210487,44.868313,0.027312927,44.649597,1
101978726,101978709,0.15080753,1.141644e-05,5.373049,45.10703,0.07111396,44.999504,1
102074021,102074003,0.1507294,1.1312184e-05,14.944474,44.12639,0.5623677,45.113174,1
102180231,102180214,0.15120678,1.1199405e-05,-2.143289,44.518944,0.011465002,44.23107,1
102275148,102275130,0.15182017,1.1089006e-05,2.5082564,44.195034,0.015817137,43.970642,1
102380969,102380951,0.15210994,1.0962935e-05,-9.583937,43.21911,0.23614,43.31841,1
102476375,102476351,0.15252736,1.0849475e-05,-3.383692,43.832844,0.029022811,43.58086,1
102582280,102582257,0.15285096,1.07283e-05,2.8213573,42.821445,0.020654388,42.625076,1
102677672,102677654,0.15293601,1.0617931e-05,-2.7822685,41.977245,0.020489985,41.728153,1
102772930,102772912,0.15230913,1.0541213e-05,13.184652,42.61072,0.4532898,43.355034,1
102879218,102879177,0.15151371,1.0489865e-05,10.819526,44.838486,0.29008347,45.187878,1
102974652,102974635,0.15154779,1.0446081e-05,-7.0778584,45.569378,0.12214851,45.57147,1
103080892,103080866,0.15160248,1.0397272e-05,5.271056,46.80465,0.065957434,46.671944,1
103175596,103175546,0.15174702,1.0345538e-05,5.9318705,45.738655,0.085478604,45.65675,1
103281559,103281542,0.1514749,1.0279399e-05,11.91479,45.55263,0.34627154,46.008152,1
103376784,103376766,0.15132436,1.0212318e-05,-2.4907315,45.19649,0.01525129,44.95539,1
103482766,103482748,0.15119517,1.0125038e-05,1.3575246,45.344913,0.004515692,45.07103,1
103578182,103578164,0.15164714,1.004636e-05,-4.3193345,44.91964,0.046148214,44.737415,1
103673566,103673548,0.15098402,9.97114e-06,3.0142732,45.586174,0.022145707,45.334072,1
103779680,103779662,0.1514989,9.886425e-06,-0.656216,44.180515,0.0010829798,43.908714,1
103874904,103874886,0.15118018,9.813477e-06,7.881185,43.5181,0.15858811,43.556206,1
103980754,103980736,0.15100737,9.734925e-06,10.74555,42.414585,0.30248204,42.679028,1
104076072,104076054,0.151234,9.662011e-06,-5.930366,42.9508,0.09098069,42.87482,1
104182357,104182339,0.15157628,9.569504e-06,-8.836,41.940548,0.20684016,42.08014,1
104277404,104277385,0.15203092,9.487038e-06,-1.7132113,43.8975,0.007429158,43.62739,1
104372685,104372667,0.15292184,9.40964e-06,-3.228237,45.132103,0.025656814,44.877686,1
104478712,104478691,0.15329577,9.3346625e-06,-4.9536953,44.004272,0.0619614,43.808144,1
104573949,104573931,0.15301354,9.2633745e-06,6.5282693,43.240696,0.10951181,43.24876,1
104679997,104679977,0.15388803,9.184537e-06,-1.466845,43.94741,0.005439922,43.667156,1
104775209,104775191,0.15395243,9.1152715e-06,0.22654724,43.683834,0.00013054321,43.425953,1
104881302,104881281,0.15417267,9.044676e-06,-0.6334848,43.687233,0.0010206464,43.425575,1
104976492,104976472,0.15401646,8.98646e-06,0.97941595,44.45621,0.0023975044,44.21441,1
105082528,105082507,0.15393427,8.933056e-06,8.5856085,43.38829,0.18876743,43.589294,1
105177874,105177852,0.15412076,8.886325e-06,1.1192627,44.396465,0.0031352572,44.14961,1
105273225,105273207,0.15408774,8.835628e-06,-8.514153,43.097034,0.18689296,43.146454,1
105379122,105379100,0.15437639,8.776053e-06,-10.464602,42.272076,0.28783885,42.486095,1
105474636,105474619,0.15414259,8.718696e-06,0.5787903,42.067024,0.0008848267,41.81287,1
105580532,105580492,0.15432127,8.65364e-06,0.88958144,41.107822,0.0021389688,40.867756,1
