timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
87676479,87569461,2621474,-0.0023714283,-0.0006557503,0.0008375624,0.15,2.0430811e-07,2.0433501e-07,9.601097e-07,2621474,-0.0034314806,-0.0030630752,-0.014202366,0.4,0.0061002215,0.0060938383,2.0671925e-05,8944899,-0.030435458,-0.0077890493,0.025686527,0.5,0.0011496583,0.0006585573,0.0011897761,1,0,1,0,1,0
87751466,87643652,2621474,-0.0023591723,-0.0006434212,0.00083889504,0.15,2.0302625e-07,2.0307114e-07,9.608306e-07,2621474,-0.0028770794,-0.0026709212,-0.014193995,0.4,0.006098174,0.0060917414,2.0628078e-05,8944899,-0.028215354,-0.007208457,0.027052697,0.5,0.0011451254,0.0006576489,0.0011876563,1,0,1,0,1,0
87888421,87781354,2621474,-0.002359174,-0.0006434202,0.00083889434,0.15,2.0448486e-07,2.0452975e-07,9.622894e-07,2621474,-0.0028758077,-0.0026696022,-0.014186891,0.4,0.006098186,0.0060917535,2.0634068e-05,8944899,-0.023792097,-0.0066262907,0.029661378,0.5,0.0011307338,0.00065652624,0.0011796429,1,0,1,0,1,0
87962532,87855554,2621474,-0.0023492116,-0.00064706063,0.0008416708,0.15,2.0320118e-07,2.032368e-07,9.628845e-07,2621474,-0.0026007912,-0.0027850792,-0.014201961,0.4,0.0060963454,0.0060899174,2.0590034e-05,8944899,-0.019504694,-0.0066346317,0.031220164,0.5,0.001121529,0.00065441127,0.0011748676,1,0,1,0,1,0
88026067,87919045,2621474,-0.0023492125,-0.0006470602,0.0008416705,0.15,2.0387307e-07,2.0390868e-07,9.635562e-07,2621474,-0.0026000715,-0.0027843567,-0.014198427,0.4,0.006096351,0.006089923,2.0591424e-05,8944899,-0.016615061,-0.007501921,0.03185524,0.5,0.0011124436,0.0006533242,0.0011701704,1,0,1,0,1,0
88090412,87982658,2621474,-0.002349215,-0.00064705923,0.0008416703,0.15,2.045475e-07,2.0458312e-07,9.642305e-07,2621474,-0.0025966656,-0.0027818514,-0.014186989,0.4,0.0060963565,0.0060899286,2.0595033e-05,8944899,-0.015489436,-0.0071512964,0.03398961,0.5,0.0011045586,0.00065236236,0.0011667154,1,0,1,0,1,0
88163857,88056894,2621474,-0.002351766,-0.00065348874,0.00084084057,0.15,2.0331456e-07,2.0328594e-07,9.649118e-07,2621474,-0.0028326164,-0.0029182108,-0.014233966,0.4,0.0060943593,0.006088454,2.055085e-05,8944899,-0.012815779,-0.007384695,0.035845775,0.5,0.0010940322,0.0006503961,0.0011580563,1,0,1,0,1,0
88227499,88120394,2621474,-0.0023517667,-0.00065348845,0.00084084057,0.15,2.039866e-07,2.0395798e-07,9.655837e-07,2621474,-0.0028312933,-0.002917379,-0.0142301135,0.4,0.006094364,0.006088459,2.0552243e-05,8944899,-0.0076823076,-0.0070521156,0.03815539,0.5,0.0010812217,0.00064908975,0.0011505053,1,0,1,0,1,0
88301550,88194499,2621474,-0.0023517676,-0.0006534882,0.00084084074,0.15,2.0477113e-07,2.047425e-07,9.66368e-07,2621474,-0.002828353,-0.002916249,-0.014224201,0.4,0.00609437,0.006088465,2.0556845e-05,8944899,-0.004944639,-0.0067429133,0.040660895,0.5,0.0010685818,0.0006474279,0.0011423365,1,0,1,0,1,0
88365104,88258095,2621474,-0.0023457836,-0.0006437744,0.000843205,0.15,2.033475e-07,2.0332655e-07,9.668478e-07,2621474,-0.0024814578,-0.002732865,-0.014236895,0.4,0.006092457,0.0060873274,2.0511492e-05,8944899,-0.003970799,-0.0055749305,0.042731036,0.5,0.0010589425,0.0006440584,0.0011380404,1,0,1,0,1,0
88439625,88332283,2621474,-0.0023457874,-0.0006437744,0.0008432056,0.15,2.0413384e-07,2.041129e-07,9.676339e-07,2621474,-0.0024669748,-0.0027287835,-0.014213384,0.4,0.0060924618,0.0060873334,2.0513893e-05,8944899,-0.005411311,-0.004577933,0.047572535,0.5,0.0010456635,0.00064205925,0.0011267194,1,0,1,0,1,0
88502852,88395810,2621474,-0.0023457895,-0.0006437752,0.00084320636,0.15,2.0480645e-07,2.0478551e-07,9.683064e-07,2621474,-0.0024575312,-0.0027266736,-0.014200568,0.4,0.006092466,0.0060873386,2.051749e-05,8944899,-0.005183036,-0.0034512368,0.05027764,0.5,0.0010365958,0.00064030744,0.0011199225,1,0,1,0,1,0
88555787,88448843,2621474,-0.0022713707,-0.0006879134,0.0009200332,0.15,2.030596e-07,2.0310273e-07,9.67126e-07,2621474,-0.0033333749,-0.007252557,-0.014028956,0.4,0.006083215,0.0060809557,2.0471361e-05,8944899,-0.003431514,-0.009994781,0.04992619,0.5,0.0010356802,0.0006276999,0.0011198592,1,0,1,0,1,0
88577092,88470012,2621474,-0.0022713707,-0.0006879134,0.0009200338,0.15,2.0328368e-07,2.033268e-07,9.673499e-07,2621474,-0.0033333832,-0.0072525325,-0.014028956,0.4,0.006083217,0.006080957,2.0473377e-05,8944899,-0.0074137184,-0.008969195,0.05146023,0.5,0.0010243051,0.0006259393,0.001116244,1,0,1,0,1,0
88640740,88533520,2621474,-0.002271372,-0.00068791455,0.00092003465,0.15,2.0395589e-07,2.0399902e-07,9.680218e-07,2621474,-0.0033276777,-0.007251337,-0.014021805,0.4,0.0060832202,0.0060809613,2.047612e-05,8944899,-0.012387465,-0.007915544,0.051663682,0.5,0.0010159696,0.0006244639,0.0011149333,1,0,1,0,1,0
88714788,88607703,2621474,-0.0022713724,-0.0006879152,0.0009200354,0.15,2.0474207e-07,2.047852e-07,9.688079e-07,2621474,-0.0033260067,-0.0072509837,-0.014019978,0.4,0.006083223,0.006080966,2.047872e-05,8944899,-0.018669218,-0.007824173,0.0509894,0.5,0.0010084272,0.00062304514,0.0011134634,1,0,1,0,1,0
88746425,88639504,2621474,-0.0022373064,-0.0007516764,0.0009762944,0.15,2.0264304e-07,2.026274e-07,9.668172e-07,2621474,-0.010451106,-0.012263195,-0.014023606,0.4,0.006047223,0.006053108,2.0428935e-05,8944899,-0.017292019,-0.012606576,0.050476376,0.5,0.0010072261,0.00060670846,0.0011133462,1,0,1,0,1,0
88778264,88671235,2621474,-0.0022373064,-0.0007516764,0.0009762949,0.15,2.0297865e-07,2.0296302e-07,9.671527e-07,2621474,-0.010451113,-0.0122631695,-0.014023606,0.4,0.006047226,0.00605311,2.0431957e-05,8944899,-0.025736008,-0.013561658,0.04958351,0.5,0.0009970921,0.00060470647,0.0011120143,1,0,1,0,1,0
88852481,88745427,2621474,-0.002237308,-0.00075167965,0.0009762958,0.15,2.0376504e-07,2.0374941e-07,9.67939e-07,2621474,-0.010445787,-0.012261884,-0.01401839,0.4,0.006047228,0.006053116,2.0434356e-05,8944899,-0.03220446,-0.015072376,0.047175407,0.5,0.0009896029,0.0006022575,0.0011105507,1,0,1,0,1,0
88915999,88808968,2621474,-0.0022373088,-0.0007516809,0.00097629643,0.15,2.0443795e-07,2.0442232e-07,9.686117e-07,2621474,-0.0104439035,-0.0122613935,-0.014016621,0.4,0.0060472307,0.0060531218,2.0437967e-05,8944899,-0.03733948,-0.01722279,0.043951675,0.5,0.0009839875,0.0005993215,0.0011082535,1,0,1,0,1,0
88990238,88883131,2621474,-0.002241426,-0.0007587295,0.000974822,0.15,2.0276225e-07,2.0251285e-07,9.676257e-07,2621474,-0.010918061,-0.0116647165,-0.0139223235,0.4,0.005976155,0.005997578,2.0385218e-05,8944899,-0.04337249,-0.0210274,0.039507136,0.5,0.0009775786,0.00058371294,0.0011044951,1,0,1,0,1,0
89053434,88946808,2621474,-0.002241426,-0.0007587295,0.000974822,0.15,2.0343806e-07,2.0318866e-07,9.683016e-07,2621474,-0.010918061,-0.0116647165,-0.0139223235,0.4,0.0059761573,0.0059975837,2.0388927e-05,8944899,0.019748002,-0.11002247,0.045944333,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
