timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
80826323,-0.061549086,-3.1930047e-06,-0.07295126,5329,0,5.3021317,2.479026,-10.965135,5329,0,0,1,1
80831563,-0.0004928291,0.015136127,-0.110899255,5240,0,-3.2901814,-2.3019664,-9.431819,5240,0,0,1,1
80836859,0.011824373,-0.0427751,0.012303144,5296,0,2.2090988,-0.16390932,-10.622979,5296,0,0,1,1
80842156,-0.012887674,0.06832393,0.010884508,5297,0,-5.3548393,-1.7225444,-8.428121,5297,0,0,1,1
80847489,0.026308471,-0.08989654,0.073039204,5333,0,2.0884113,-0.020259818,-10.316524,5333,0,0,1,1
80852756,-0.020963494,0.103722736,0.06523201,5267,0,-1.2342426,1.8554882,-9.380441,5267,0,0,1,1
80858092,0.0033726394,-0.07862964,0.10223223,5336,0,4.9083734,-0.108698346,-10.352639,5336,0,0,1,1
80863327,0.016154312,0.098397076,0.027794236,5235,0,1.0173529,1.202558,-10.218414,5235,0,0,1,1
80868659,0.043974277,-0.076783605,0.016836971,5332,0,-0.39816722,-2.5112932,-9.763467,5332,0,0,1,1
80873996,-0.022705657,0.03410939,-0.0071691624,5337,0,-1.2682561,1.2127858,-10.805964,5337,0,0,1,1
80879314,0.0125782965,-0.052045077,-0.026547423,5318,0,-3.8747325,-0.7816863,-7.4657903,5318,0,0,1,1
80884553,-0.0067157974,0.028139409,-0.020613892,5239,0,2.4067178,2.6129816,-10.698686,5239,0,0,1,1
80889817,0.0101514105,-0.01430691,-0.023479447,5264,0,-3.0886872,-0.95067346,-8.54301,5264,0,0,1,1
80895150,0.0010317187,-0.0038285388,-0.030311203,5333,0,5.0048046,-1.284251,-10.947809,5333,0,0,1,1
80900390,-0.012195465,0.03011929,-0.002194213,5240,0,-2.820907,-0.19465593,-10.225091,5240,0,0,1,1
80905706,-0.013087223,-0.06064222,0.000100978854,5316,0,2.8332343,-0.6997866,-9.708645,5316,0,0,1,1
80911037,-0.03493624,0.04945641,-0.01945453,5331,0,-3.807602,1.0485255,-9.552944,5331,0,0,1,1
80916281,0.010708572,-0.069910966,0.061938062,5244,0,2.8773642,-1.1521478,-10.183012,5244,0,0,1,1
80921647,-0.027211772,0.11982787,0.010347098,5366,0,-1.3753601,-0.40765834,-9.531432,5366,0,0,1,1
80926909,0.021601882,-0.097160116,0.034997843,5262,0,1.6573037,-0.29653102,-9.722519,5262,0,0,1,1
80932198,0.018378172,0.12653871,0.007882905,5289,0,0.44181493,0.99116904,-10.459226,5289,0,0,1,1
80937530,0.015306423,-0.10708595,0.0046332893,5332,0,-1.8019148,1.011387,-9.153723,5332,0,0,1,1
80942774,0.0013784547,0.083880015,-0.033644054,5244,0,1.8015562,-1.197466,-10.601919,5244,0,0,1,1
80948108,0.055830453,-0.07205377,-0.015795061,5334,0,-4.281867,-1.6883012,-8.714152,5334,0,0,1,1
80953438,0.0047319746,0.025720254,-0.029130852,5330,0,4.019633,1.3415015,-10.068603,5330,0,0,1,1
80958680,-0.05159204,0.029433513,-0.061935507,5242,0,-3.3108516,0.37867993,-9.584618,5242,0,0,1,1
80964033,-0.011261773,-0.05630164,-0.0064821807,5353,0,5.0703354,0.11696023,-10.71637,5353,0,0,1,1
80969314,0.005775386,0.08479402,-0.08177757,5281,0,-2.857602,-1.3185606,-9.823046,5281,0,0,1,1
80974591,-0.011072971,-0.10607029,0.00051147933,5277,0,2.0708876,-0.40649673,-10.157892,5277,0,0,1,1
80979925,-0.024394576,0.10333688,-0.023225948,5334,0,-4.19522,-0.22433761,-8.705983,5334,0,0,1,1
80985167,0.014628441,-0.11301594,0.009848939,5242,0,0.71077603,0.54188985,-9.673694,5242,0,0,1,1
80990561,-0.013136923,0.12731317,0.010791893,5394,0,0.54402095,1.5417175,-9.868301,5394,0,0,1,1
80995789,0.0020670714,-0.09857108,0.026433827,5228,0,2.2317116,-1.3845184,-10.360234,5228,0,0,1,1
81001099,0.015279282,0.09720912,-0.0006744615,5310,0,1.511979,-1.0766441,-10.462702,5310,0,0,1,1
81006349,0.009856363,-0.09378315,0.012305766,5250,0,-2.3418543,0.015821436,-9.540405,5250,0,0,1,1
81011679,-0.027429279,0.060141686,0.009235038,5330,0,0.13312912,0.35958004,-9.547482,5330,0,0,1,1
81016964,0.016175713,-0.06379819,0.007141152,5285,0,-3.9000807,0.41811642,-8.670555,5285,0,0,1,1
81022322,0.035644032,0.05467198,0.013288793,5358,0,4.035414,-0.6083124,-11.054116,5358,0,0,1,1
81027564,-0.0022092925,0.01175317,-0.03390549,5242,0,-2.4034128,-0.20355365,-8.850105,5242,0,0,1,1
81032896,-0.030525392,-0.04694312,-0.04259885,5332,0,5.0419264,0.7969926,-10.731505,5332,0,0,1,1
81038142,-0.024714192,0.05636019,-0.054134306,5246,0,-4.4679627,-0.7723806,-9.92136,5246,0,0,1,1
81043474,0.008203054,-0.09598932,-0.018326843,5332,0,2.4061246,-0.21897934,-9.721214,5332,0,0,1,1
81048723,0.0013940403,0.0940176,0.000861094,5249,0,-3.2942698,-1.1568524,-9.174249,5249,0,0,1,1
81054047,-0.0175741,-0.09489497,0.060291324,5324,0,2.2874944,0.39984727,-10.147872,5324,0,0,1,1
81059334,-0.011995252,0.104802474,0.03807695,5287,0,-1.1342275,0.6582308,-9.574337,5287,0,0,1,1
81064655,0.014219114,-0.09657483,0.04734043,5321,0,1.3562099,0.18652953,-10.193765,5321,0,0,1,1
81069942,0.0007228467,0.09843372,0.03991077,5287,0,0.8469966,0.15486574,-9.947156,5287,0,0,1,1
81075229,0.021889437,-0.08533299,0.031931568,5287,0,-1.7419927,-0.9642203,-9.478102,5287,0,0,1,1
81080581,-0.03597703,0.053929225,0.011775648,5352,0,1.7995284,-0.37260738,-10.329753,5352,0,0,1,1
81085825,0.017754538,-0.03563937,0.0057523223,5244,0,-3.3886364,-0.9387542,-9.13897,5244,0,0,1,1
81091153,-0.025337268,0.0073924423,-0.020307168,5328,0,2.8336024,1.0361813,-10.102589,5328,0,0,1,1
81096395,0.00078743347,0.006249619,-0.06729832,5242,0,-3.0091043,1.4221607,-9.304243,5242,0,0,1,1
81101838,-0.012014404,-0.0545872,-0.031410743,5443,0,3.3308263,-1.1586561,-10.277381,5443,0,0,1,1
81107008,0.016273994,0.06905574,-0.03732065,5170,0,-2.4934812,-1.3902675,-9.878322,5170,0,0,1,1
81112308,0.008785743,-0.0838726,0.025893977,5300,0,1.2961795,-0.6381453,-9.846018,5300,0,0,1,1
81117624,-0.038672097,0.095089495,0.0090618925,5316,0,-1.0524868,0.8185973,-9.55146,5316,0,0,1,1
81122866,-0.0019995307,-0.09252713,0.029944893,5242,0,1.7328504,0.8102743,-10.045915,5242,0,0,1,1
81128188,-0.02383302,0.09777145,0.021478627,5322,0,1.1661481,0.027500838,-9.952243,5322,0,0,1,1
81133522,0.016040806,-0.07864911,0.0075620897,5334,0,-1.655878,-0.90399295,-9.643382,5334,0,0,1,1
81138764,-0.030916616,0.06870444,-0.054855276,5242,0,0.36114672,-0.32137227,-9.573027,5242,0,0,1,1
81144097,0.050451715,-0.074623026,-0.017231748,5333,0,-3.3875113,0.01055308,-9.401521,5333,0,0,1,1
81149390,-0.052502885,0.04677327,0.008519661,5293,0,3.175735,1.8224925,-10.405865,5293,0,0,1,1
81154722,-0.049927294,-0.058740746,-0.047175504,5332,0,-2.579458,-0.5097969,-9.058754,5332,0,0,1,1
81159975,-0.013214982,-0.019318385,-0.01961267,5253,0,4.3772907,-1.4637167,-11.347591,5253,0,0,1,1
81165295,0.03354359,0.031989593,-0.05016868,5320,0,-3.2610114,-0.9726416,-8.815199,5320,0,0,1,1
81170649,0.0069839857,-0.07829559,0.04880249,5354,0,2.7159095,-1.0829892,-10.320464,5354,0,0,1,1
81175922,-0.06773676,0.08836941,0.022766188,5273,0,-4.378653,-0.02670339,-10.025316,5273,0,0,1,1
81181163,0.0025458392,-0.11808483,0.06626065,5241,0,2.456841,0.5529273,-9.511332,5241,0,0,1,1
81186495,-0.061940975,0.13743018,0.0016526356,5332,0,0.7804885,1.8677446,-9.701262,5332,0,0,1,1
81191831,0.05842719,-0.10663194,0.036619667,5336,0,2.1332762,1.0509734,-9.248379,5336,0,0,1,1
81197082,-0.055238836,0.122528166,-0.022901364,5251,0,-1.4954059,-1.9814142,-10.877158,5251,0,0,1,1
81202323,0.002613352,-0.13485132,-0.014974834,5241,0,-3.90955,-1.4688015,-8.707449,5241,0,0,1,1
81207653,-0.046101402,0.039170906,-0.023556868,5330,0,3.7570567,2.1341667,-11.076095,5330,0,0,1,1
81213059,-0.020163821,-0.021319967,-0.022031717,5406,0,-3.035506,0.8707526,-8.0190735,5406,0,0,1,1
81218245,0.02365835,-0.044364106,0.02725574,5186,0,5.9536805,-1.3182139,-11.147619,5186,0,0,1,1
81223577,0.004728926,0.005631578,0.03279211,5332,0,-6.579933,-2.777534,-9.479796,5332,0,0,1,1
81228818,0.030732393,-0.04732621,0.09058392,5241,0,3.3219776,0.014304713,-9.817253,5241,0,0,1,1
81234150,-0.06178144,0.07413922,0.0043756836,5332,0,-0.8169906,3.4429057,-10.244714,5332,0,0,1,1
81239444,0.0401214,-0.06538362,0.051498104,5294,0,3.8573008,0.34690425,-9.090632,5294,0,0,1,1
81244774,0.01063412,0.051338818,0.0035291766,5330,0,-0.20211715,-0.84574795,-11.175484,5330,0,0,1,1
81250068,0.03523207,-0.057054672,0.044537008,5294,0,-3.340598,-2.7172685,-8.878634,5294,0,0,1,1
81255335,-0.02117357,0.034719657,0.03317938,5267,0,-2.4492776,-0.89778197,-9.614724,5267,0,0,1,1
81260656,-0.10394344,-0.04318546,-0.008704189,5321,0,0.19248305,5.0924563,-9.580419,5321,0,0,1,1
81265896,-0.009055994,0.05786583,-0.07921831,5240,0,3.1977236,0.35547915,-9.164209,5240,0,0,1,1
81271229,0.048346806,-0.09606914,0.00013144578,5333,0,0.873438,-3.3167562,-11.552743,5333,0,0,1,1
81276527,-0.009115036,0.06832543,-0.009746033,5298,0,0.09176609,-3.5888176,-9.751024,5298,0,0,1,1
81281825,-0.084601745,-0.09398902,0.035382066,5298,0,-5.684577,0.109655775,-9.626216,5298,0,0,1,1
81287121,-0.041379936,0.025815997,0.064195566,5296,0,4.6303024,5.6283073,-9.488707,5296,0,0,1,1
81292411,0.027142288,0.008526727,0.010941713,5290,0,-1.8874451,-1.1791826,-9.445636,5290,0,0,1,1
81297694,0.045291148,-0.0493496,0.051013067,5283,0,5.096836,-1.8970041,-10.413033,5283,0,0,1,1
81303056,-0.029128738,0.07067106,-0.010468908,5362,0,-4.4941936,-2.2485204,-9.23577,5362,0,0,1,1
81308296,0.029390264,-0.097015075,0.01617981,5240,0,0.053902782,0.10455798,-10.809127,5240,0,0,1,1
81313628,-0.060347755,0.14087364,0.0050315354,5332,0,0.64744097,4.228012,-9.19057,5332,0,0,1,1
81318870,0.035481673,-0.13423839,-0.0139643485,5242,0,1.506076,0.12304254,-9.149897,5242,0,0,1,1
81324313,0.011605961,0.10281313,-0.011873178,5443,0,1.2716453,-1.0938137,-10.958726,5443,0,0,1,1
81329520,0.015677787,-0.09548623,0.0064787567,5207,0,-4.493368,-2.0700314,-8.362192,5207,0,0,1,1
81334761,0.010412945,0.06114926,0.0010950841,5241,0,0.39210126,-0.7074086,-10.69499,5241,0,0,1,1
81340094,-0.06207889,-0.0038879907,-0.0070504746,5333,0,-0.6970092,1.9134293,-9.130786,5333,0,0,1,1
81345426,0.019689173,-0.021436147,-0.022374058,5332,0,5.4203186,0.82139474,-10.989244,5332,0,0,1,1
81350667,0.036755696,0.022976937,0.035813972,5241,0,-1.5380284,-1.7394165,-9.9133,5241,0,0,1,1
81355999,0.001008236,-0.034883708,0.0060504316,5332,0,0.059309285,-0.84565026,-9.67847,5332,0,0,1,1
81361242,0.01237153,0.03805767,0.02689075,5243,0,-3.693627,-1.2112428,-8.867887,5243,0,0,1,1
81366573,-0.027981803,-0.021280365,0.035540257,5331,0,0.31120187,2.972122,-9.650935,5331,0,0,1,1
81371919,0.015096172,0.037292875,-0.023539932,5346,0,1.7078893,1.1890653,-10.014239,5346,0,0,1,1
81377159,0.0048670294,0.0040463465,-0.03945478,5240,0,1.6579012,-1.418952,-10.04983,5240,0,0,1,1
81382492,-0.047859255,-0.012486788,-0.088066384,5333,0,1.1272618,-1.1426604,-10.866128,5333,0,0,1,1
81387733,-0.017363802,-0.011587342,-0.1375029,5241,0,-3.7239995,-1.6258212,-9.1026325,5241,0,0,1,1
81393079,-0.023938227,-0.03642358,-0.0048278193,5346,0,-0.54821247,2.9199314,-9.42416,5346,0,0,1,1
81398398,-0.040113825,0.03805246,-0.027738303,5319,0,-1.765623,0.0455901,-8.665888,5319,0,0,1,1
81403653,-0.0024668537,-0.04488166,0.04787039,5255,0,3.5172236,-3.0062687,-10.9092045,5255,0,0,1,1
81408971,0.023011241,0.07367041,0.10531375,5318,0,1.3276801,-0.11136146,-11.0013,5318,0,0,1,1
81414313,0.03507098,-0.03879284,0.09935832,5342,0,-1.2941871,0.47655615,-8.447948,5342,0,0,1,1
81419585,-0.040881634,0.06584699,0.10791833,5272,0,0.80456716,3.4834244,-10.755039,5272,0,0,1,1
81424827,0.06684876,-0.045187045,0.052916754,5242,0,-0.36104056,-3.3820803,-9.70617,5242,0,0,1,1
81430157,0.042365454,0.050959248,-0.019809734,5330,0,2.316655,-0.24182343,-9.899331,5330,0,0,1,1
81435397,0.011765169,-0.023964962,-0.018169394,5240,0,-3.5678818,-1.0971148,-9.381419,5240,0,0,1,1
81440759,0.0026105414,0.02920172,-0.061459556,5362,0,-0.30207065,1.872761,-9.502164,5362,0,0,1,1
81445987,0.008255625,-0.011036026,-0.06406446,5228,0,-1.1667444,1.837021,-9.541105,5228,0,0,1,1
81451320,0.009443964,-0.0019189491,0.014700263,5333,0,3.0067105,-1.1397368,-10.277531,5333,0,0,1,1
81456652,0.0036306237,0.015134425,0.036661036,5332,0,-1.5370824,-2.508861,-10.153982,5332,0,0,1,1
81461907,-0.06714678,-0.022963827,0.0748385,5255,0,0.97399735,-1.0843008,-9.842983,5255,0,0,1,1
81467181,-0.03685052,0.03693559,0.024423312,5274,0,-1.5574311,2.4347267,-9.23359,5274,0,0,1,1
81472514,-0.045369066,-0.048336364,0.030662026,5333,0,2.8213222,1.8278055,-10.18157,5333,0,0,1,1
81477846,0.004286746,0.08792154,-0.01749548,5332,0,-0.14634626,-1.6511137,-9.925482,5332,0,0,1,1
81483131,0.031513724,-0.090077385,-0.024694776,5285,0,0.003836016,-2.7175581,-10.671798,5285,0,0,1,1
81488419,-0.025228024,0.08797708,-0.051778927,5288,0,-2.2231007,-0.15236114,-8.489437,5288,0,0,1,1
81493705,0.026584977,-0.070500955,-0.03044428,5286,0,-2.1831274,2.8257258,-9.332549,5286,0,0,1,1
81499036,-0.010891873,0.06267843,-0.039641827,5331,0,2.4408157,2.0621264,-10.03129,5331,0,0,1,1
81504333,0.051594514,-0.028978763,-0.035493277,5297,0,1.2997831,-1.8909411,-10.0700245,5297,0,0,1,1
81509630,-0.005627353,0.005344953,-0.009528631,5297,0,1.7045876,-2.6774552,-10.844358,5297,0,0,1,1
81514899,0.020419855,-0.0058924137,-0.0036926784,5269,0,-3.4338503,-1.4978918,-9.085277,5269,0,0,1,1
81520230,-0.022514313,-0.04295472,0.056108557,5331,0,-0.31957838,2.4227626,-10.386842,5331,0,0,1,1
81525558,-0.067449234,0.056321755,0.02354156,5328,0,0.51919824,2.6616566,-8.687024,5328,0,0,1,1
81530798,-0.0014613747,-0.061332494,0.03700674,5240,0,2.371133,-1.1783398,-10.098438,5240,0,0,1,1
81536039,0.009905682,0.11075463,-0.0038265206,5241,0,-0.016800417,-3.1531904,-10.707286,5241,0,0,1,1
81541384,0.025530256,-0.080082774,-0.0425268,5345,0,-1.3154683,-0.9026314,-8.873688,5345,0,0,1,1
81546837,-0.0917994,0.0838238,-0.03686113,5453,0,-1.3553001,2.0324008,-10.696693,5453,0,0,1,1
