timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
83746082,-0.0,-0.0,-0.13786711,0.0,0.99762505,-0.0,0.0,-0.06887898,0.0,0.0,-0.001,0,0
83798944,-0.0,-0.0,-0.13981998,0.0,0.9975573,-0.0,0.0,-0.06985306,0.0,0.0,-0.001,0,0
83851750,-0.0,-0.0,-0.13944854,0.0,0.9975702,-0.0,0.0,-0.06966779,0.0,0.0,-0.001,0,0
83894104,-0.0,-0.0,-0.1390372,0.0,0.9975846,-0.0,0.0,-0.06946262,0.0,0.0,-0.001,0,0
83947467,-0.0,-0.0,-0.13923281,0.0,0.9975778,-0.0,0.0,-0.069560185,0.0,0.0,-0.001,0,0
84000152,-0.0,-0.0,-0.1390418,0.0,0.9975844,-0.0,0.0,-0.06946492,0.0,0.0,-0.001,0,0
84053086,-0.0,-0.0,-0.13861036,0.0,0.99759936,-0.0,0.0,-0.069249704,0.0,0.0,-0.001,0,0
84095435,-0.0,-0.0,-0.13787831,0.0,0.9976247,-0.0,0.0,-0.06888457,0.0,0.0,-0.001,0,0
84148677,-0.0,-0.0,-0.13816033,0.0,0.9976149,-0.0,0.0,-0.06902524,0.0,0.0,-0.001,0,0
84201415,-0.0,-0.0,-0.13853675,0.0,0.9976019,-0.0,0.0,-0.069212995,0.0,0.0,-0.001,0,0
84244139,-0.0,-0.0,-0.13980694,0.0,0.99755776,-0.0,0.0,-0.069846556,0.0,0.0,-0.001,0,0
84296669,-0.0,-0.0,-0.13924538,0.0,0.9975773,-0.0,0.0,-0.06956645,0.0,0.0,-0.001,0,0
84350695,-0.0,-0.0,-0.13973838,0.0,0.99756014,-0.0,0.0,-0.06981236,0.0,0.0,-0.001,0,0
84402667,-0.0,-0.0,-0.14092645,0.0,0.9975185,-0.0,0.0,-0.07040493,0.0,0.0,-0.001,0,0
84445150,-0.0,-0.0,-0.14042115,0.0,0.99753624,-0.0,0.0,-0.07015291,0.0,0.0,-0.001,0,0
84498025,-0.0,-0.0,-0.13783638,0.0,0.99762607,-0.0,0.0,-0.068863645,0.0,0.0,-0.001,0,0
84551308,-0.0,-0.0,-0.1378327,0.0,0.99762625,-0.0,0.0,-0.06886181,0.0,0.0,-0.001,0,0
84593641,-0.0,-0.0,-0.13806285,0.0,0.99761826,-0.0,0.0,-0.06897662,0.0,0.0,-0.001,0,0
84646415,-0.0,-0.0,-0.13821447,0.0,0.9976131,-0.0,0.0,-0.06905224,0.0,0.0,-0.001,0,0
84699354,-0.0,-0.0,-0.13873562,0.0,0.997595,-0.0,0.0,-0.0693122,0.0,0.0,-0.001,0,0
84752530,-0.0,-0.0,-0.13859968,0.0,0.9975997,-0.0,0.0,-0.06924438,0.0,0.0,-0.001,0,0
