timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
96183537,-1.4206171,0.20259412,nan,0.0,0.0,1.118632,0.0,0.0,-0.1944593,nan,nan,8.0,-0.5177513,-1.8984202e-35
96395257,-1.4206171,0.20259412,nan,0.0,0.0,1.0699786,0.0,0.0,-0.28286582,nan,nan,-8.0,-0.49193645,-1.79063e-36
96596582,-1.4206171,0.20259412,nan,0.0,0.0,1.0233246,0.0,0.0,-0.15978743,nan,nan,8.0,-0.4966985,-1.908007e-37
96797913,-1.4206171,0.20259412,nan,0.0,0.0,0.9829019,0.0,0.0,-0.15925393,nan,nan,8.0,-0.5009197,-2.0324544e-38
96999137,-1.4206171,0.20259412,nan,0.0,0.0,0.9430205,0.0,0.0,-0.15937167,nan,nan,8.0,-0.4991935,-2.167617e-39
97200418,-1.4206171,0.20259412,nan,0.0,0.0,0.9081604,0.0,0.0,-0.10853584,nan,nan,8.0,-0.4891408,-2.31116e-40
97401772,-1.4206171,0.20259412,nan,0.0,0.0,0.89209545,0.0,0.0,-0.024281472,nan,nan,8.0,-0.51115423,-2.4612e-41
97582107,-1.4206171,0.20259412,nan,0.0,0.0,0.8772929,0.0,0.0,-0.04952866,nan,nan,8.0,-0.5163466,-3.31e-42
97783486,-1.4206171,0.20259412,nan,0.0,0.0,0.8541174,0.0,0.0,-0.07572338,nan,nan,8.0,-0.52402794,-3.53e-43
97995360,-1.4206171,0.20259412,nan,0.0,0.0,0.8310277,0.0,0.0,-0.14873718,nan,nan,8.0,-0.53043234,-3.5e-44
98196691,-1.4206171,0.20259412,nan,0.0,0.0,0.8111136,0.0,0.0,-0.03637804,nan,nan,8.0,-0.5416842,-4e-45
98397663,-1.4206171,0.20259412,nan,0.0,0.0,0.7904967,0.0,0.0,-0.089789696,nan,nan,8.0,-0.5584396,-3e-45
98598835,-1.4206171,0.20259412,nan,0.0,0.0,0.76295394,0.0,0.0,-0.112561494,nan,nan,8.0,-0.56820804,-3e-45
98800170,-1.4206171,0.20259412,nan,0.0,0.0,0.7352684,0.0,0.0,-0.10556804,nan,nan,8.0,-0.56866986,-3e-45
99001380,-1.4206171,0.20259412,nan,0.0,0.0,0.7058962,0.0,0.0,-0.09300329,nan,nan,8.0,-0.58484817,-3e-45
99202722,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.5882483,-3e-45
99382863,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.60770845,-3e-45
99584165,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.62469447,-3e-45
99796040,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.63412845,-3e-45
99997347,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6441625,-3e-45
100199011,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6307447,-3e-45
100400306,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6377356,-3e-45
100601523,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.64007396,-3e-45
100802541,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6491054,-3e-45
100982644,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.61098063,-3e-45
101183886,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.58845055,-3e-45
101395818,-1.4206171,0.20259412,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.5935432,-3e-45
101597060,nan,nan,nan,-0.019032689,0.049640246,0.7,0.384424,-0.5483796,0.0,nan,nan,0.0,-0.6045324,-3e-45
101798291,nan,nan,nan,0.008925226,-0.0046928893,0.7,0.077530384,-0.08937165,0.0,nan,nan,0.0,-0.60034037,-3e-45
101999926,nan,nan,nan,0.03288216,-0.022501063,0.7,0.22828206,-0.15920165,0.0,nan,nan,0.0,-0.60419333,-3e-45
102200873,nan,nan,nan,0.097140305,-0.067362376,0.7,0.2571759,-0.1782001,0.0,nan,nan,0.0,-0.60615766,-3e-45
102402171,nan,nan,nan,0.05711765,-0.039534125,0.7,-0.27729163,0.19192813,0.0,nan,nan,0.0,-0.6152577,-3e-45
102582309,nan,nan,nan,0.016727071,-0.011577684,0.7,-0.17527609,0.12131777,0.0,nan,nan,0.0,-0.6124018,-3e-45
102783615,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.64106566,-3e-45
102995397,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6401307,-3e-45
103196780,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.64821,-3e-45
103397961,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6732761,-3e-45
103599381,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.67423767,-3e-45
103800596,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6772626,-3e-45
104001925,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6724564,-3e-45
104182387,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.67963874,-3e-45
104383601,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.67499375,-3e-45
104595506,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6713842,-3e-45
104796694,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6711851,-3e-45
104997716,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6790325,-3e-45
105199041,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6984045,-3e-45
105400292,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.6868083,-3e-45
105601626,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.67739266,-3e-45
105802889,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.67739266,-3e-45
105983024,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.7161995,-3e-45
106194974,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.7161995,-3e-45
106396197,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.7161995,-3e-45
106597524,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.7161995,-3e-45
106799139,-1.3677031,0.25129855,nan,0.0,0.0,0.7,0.0,0.0,0.0,nan,nan,0.0,-0.7161995,-3e-45
107000515,nan,nan,nan,0.23980075,-0.24146597,0.7,-0.80676633,0.81236863,0.0,nan,nan,0.0,-0.7614832,-3e-45
107201414,nan,nan,nan,0.21567781,-0.22500624,0.7,-0.75911915,0.7919524,0.0,nan,nan,0.0,-0.87510586,-3e-45
107402630,nan,nan,nan,0.27923432,-1.039367,0.7,-0.95460075,1.0876784,0.0,nan,nan,0.0,-0.87719625,-3e-45
107582697,nan,nan,nan,-0.47769177,-0.042569127,0.7,-0.5477352,1.2902831,0.0,nan,nan,0.0,-0.8068441,-3e-45
107795888,nan,nan,nan,-0.43865064,-0.3091135,0.8041856,0.9838213,0.67868567,0.0,nan,nan,0.0,-0.9091716,-3e-45
